latitude	longitude	store_name	code	location	imei
61.78491	34.34691	Petrozavodsk	RU	Europe/Moscow	3590433799317661040
28.98002	77.70636	Meerut	IN	Asia/Kolkata	3590433799317661263
23.9028	89.11943	Kushtia	BD	Asia/Dhaka	359043379931766866
-8.99167	125.21972	Maliana	TL	Asia/Dili	3590433799317661073
33.08014	-83.2321	Milledgeville	US	America/New_York	8630330696303482311
54.60528	18.34717	Reda	PL	Europe/Warsaw	3590433799317661461
33.86419	48.26258	Aleshtar	IR	Asia/Tehran	863033069630348388
44.27804	-88.27205	Kaukauna	US	America/Chicago	359043379931766619
48.46458	9.22796	Pfullingen	DE	Europe/Berlin	359043379931766940
43.61062	-72.97261	Rutland	US	America/New_York	3590433799317661545
33.08014	-83.2321	Milledgeville	US	America/New_York	359043379931766627
-15.675	-38.94722	Canavieiras	BR	America/Bahia	3590433799317661941
44.80477	-0.59543	Talence	FR	Europe/Paris	8630330696303482220
-38.65333	178.00417	Gisborne	NZ	Pacific/Auckland	359043379931766148
56.56317	-2.58736	Arbroath	GB	Europe/London	863033069630348487
52.14	5.58472	Barneveld	NL	Europe/Amsterdam	359043379931766387
37.52487	-77.55777	Bon Air	US	America/New_York	8630330696303482451
-19.65	47.31667	Antanifotsy	MG	Indian/Antananarivo	3590433799317662220
39.09112	-94.41551	Independence	US	America/Chicago	359043379931766197
47.4943	-122.24092	Bryn Mawr-Skyway	US	America/Los_Angeles	3590433799317662139
38.13708	41.00817	Silvan	TR	Europe/Istanbul	3590433799317661073
-10.90889	-37.03861	Barra dos Coqueiros	BR	America/Maceio	863033069630348172
50.80019	7.20769	Siegburg	DE	Europe/Berlin	8630330696303482469
9.535	-13.68778	Camayenne	GN	Africa/Conakry	8630330696303482295
25.87498	86.59611	Saharsa	IN	Asia/Kolkata	359043379931766361
42.55308	-87.93341	Pleasant Prairie	US	America/Chicago	359043379931766916
9.6531	124.3697	Jagna	PH	Asia/Manila	3590433799317661008
34.09668	-117.71978	Claremont	US	America/Los_Angeles	3590433799317661685
47.48444	36.25361	Polohy	UA	Europe/Zaporozhye	8630330696303481719
36.33011	138.89585	Annaka	JP	Asia/Tokyo	3590433799317661032
5.20856	-74.73584	Honda	CO	America/Bogota	359043379931766817
45.53929	-122.38731	Troutdale	US	America/Los_Angeles	359043379931766049
31.82539	72.54064	Sillanwali	PK	Asia/Karachi	8630330696303481636
51.47805	6.8625	Oberhausen	DE	Europe/Berlin	8630330696303482394
41.15612	1.10687	Reus	ES	Europe/Madrid	8630330696303482089
-25.54073	152.70493	Maryborough	AU	Australia/Brisbane	359043379931766288
47.46657	84.87144	Zaysan	KZ	Asia/Almaty	863033069630348354
41.09246	45.36561	Qazax	AZ	Asia/Baku	359043379931766346
32.5007	-94.74049	Longview	US	America/Chicago	3590433799317661214
22.88783	84.13864	Jashpurnagar	IN	Asia/Kolkata	8630330696303482394
-17.73648	168.31366	Port-Vila	VU	Pacific/Efate	3590433799317661677
41.9001	-71.08977	Taunton	US	America/New_York	3590433799317661214
53.93361	37.92792	Kireyevsk	RU	Europe/Moscow	3590433799317662162
45.16024	-93.08883	Lino Lakes	US	America/Chicago	3590433799317661370
14.66	120.56528	Pilar	PH	Asia/Manila	3590433799317661701
49.952431	15.268654	Kutná Hora	CZ	Europe/Prague	359043379931766429
31.82539	72.54064	Sillanwali	PK	Asia/Karachi	863033069630348883
53.95278	32.86389	Roslavl‚Äô	RU	Europe/Moscow	3590433799317661479
19.30157	72.85107	Bhayandar	IN	Asia/Kolkata	8630330696303482394
33.37526	74.3092	Rajaori	IN	Asia/Kolkata	3590433799317662303
7.50251	5.06258	Igbara-Odo	NG	Africa/Lagos	359043379931766239
28.71271	77.656	Pilkhua	IN	Asia/Kolkata	8630330696303481503
51.20219	7.36027	Radevormwald	DE	Europe/Berlin	3590433799317661305
55.54028	89.20083	Sharypovo	RU	Asia/Krasnoyarsk	3590433799317662014
33.45122	-86.99666	Hueytown	US	America/Chicago	3590433799317661271
-8.43333	114.33333	Muncar	ID	Asia/Jakarta	8630330696303482428
-24.19436	29.00974	Mokopane	ZA	Africa/Johannesburg	8630330696303481941
19.8173	-97.35992	Teziutlan	MX	America/Mexico_City	8630330696303481990
34.61667	135.6	Yao	JP	Asia/Tokyo	8630330696303481412
32.57756	71.52847	Mianwali	PK	Asia/Karachi	863033069630348628
18.57677	-72.22625	Croix-des-Bouquets	HT	America/Port-au-Prince	3590433799317661693
48.8765	2.18967	Rueil-Malmaison	FR	Europe/Paris	359043379931766767
39.59611	27.02444	Edremit	TR	Europe/Istanbul	863033069630348883
49.183239	15.454273	Telč	CZ	Europe/Prague	8630330696303481545
22.83957	91.84128	Manikchari	BD	Asia/Dhaka	3590433799317661602
59.33333	18.28333	Boo	SE	Europe/Stockholm	3590433799317661834
35.95664	36.7138	Binnish	SY	Asia/Damascus	8630330696303482261
30.17746	-81.38758	Palm Valley	US	America/New_York	3590433799317661495
32.35126	-95.30106	Tyler	US	America/Chicago	3590433799317661701
22.75218	72.68533	Kheda	IN	Asia/Kolkata	8630330696303482006
